Type,Title,When
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Call,Discovery call,2026-08-17
Call,Follow-up call,2026-08-17
Call,Discovery call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Send revised cohort schedule,2026-08-17
Task,Confirm measurement approach,2026-08-17
Task,Send revised cohort schedule,2026-08-17
Task,Send revised cohort schedule,2026-08-17
Task,Send revised cohort schedule,2026-08-17
Task,Confirm measurement approach,2026-08-17
Task,Chase proposal decision,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Chase proposal decision,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Send revised cohort schedule,2026-08-17
Task,Chase proposal decision,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Send revised cohort schedule,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Chase proposal decision,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Chase proposal decision,2026-08-17
Task,Confirm measurement approach,2026-08-17
Task,Send revised cohort schedule,2026-08-17
Task,Chase proposal decision,2026-08-17
Task,Send revised cohort schedule,2026-08-17
Task,Chase proposal decision,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Book executive sponsor call,2026-08-17
Task,Re-engage after their planning cycle,2026-08-17
Task,Book discovery call,2026-08-17
Task,Book discovery call,2026-08-17
Call,Follow-up call,2026-08-18
Meeting,Proposal review,2026-08-18
Task,Send revised cohort schedule,2026-08-18
Task,Confirm measurement approach,2026-08-18
Task,Confirm measurement approach,2026-08-18
Task,Send revised cohort schedule,2026-08-18
Task,Send revised cohort schedule,2026-08-18
Task,Book executive sponsor call,2026-08-18
Task,Confirm measurement approach,2026-08-18
Task,Confirm measurement approach,2026-08-18
Task,Book executive sponsor call,2026-08-18
Task,Re-engage after their planning cycle,2026-08-18
Task,Re-engage after their planning cycle,2026-08-18
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-08-19
Call,Discovery call,2026-08-19
Meeting,Scoping session,2026-08-19
Task,Send revised cohort schedule,2026-08-19
Task,Confirm measurement approach,2026-08-19
Task,Book executive sponsor call,2026-08-19
Task,Book executive sponsor call,2026-08-19
Task,Chase proposal decision,2026-08-19
Task,Send revised cohort schedule,2026-08-19
Task,Chase proposal decision,2026-08-19
Task,Send revised cohort schedule,2026-08-20
Task,Send revised cohort schedule,2026-08-20
Task,Chase proposal decision,2026-08-20
Task,Send revised cohort schedule,2026-08-20
Task,Chase proposal decision,2026-08-20
Task,Confirm measurement approach,2026-08-20
Task,Chase proposal decision,2026-08-20
Task,Confirm measurement approach,2026-08-20
Task,Confirm measurement approach,2026-08-20
Task,Re-engage after their planning cycle,2026-08-20
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-08-21
Call,Discovery call,2026-08-21
Task,Send revised cohort schedule,2026-08-21
Task,Chase proposal decision,2026-08-21
Task,Confirm measurement approach,2026-08-21
Task,Chase proposal decision,2026-08-21
Task,Send revised cohort schedule,2026-08-21
Task,Chase proposal decision,2026-08-21
Task,Send revised cohort schedule,2026-08-21
Task,Book executive sponsor call,2026-08-21
Task,Book executive sponsor call,2026-08-21
Task,Send revised cohort schedule,2026-08-21
Task,Book executive sponsor call,2026-08-21
Task,Book executive sponsor call,2026-08-21
Task,Chase proposal decision,2026-08-21
Task,Book executive sponsor call,2026-08-21
Task,Chase proposal decision,2026-08-21
Task,Book executive sponsor call,2026-08-21
Task,Send revised cohort schedule,2026-08-21
Task,Follow up on intro email,2026-08-21
Note,Sent the program outline and a sample cohort schedule.,2026-08-24
Call,Follow-up call,2026-08-24
Call,Discovery call,2026-08-24
Call,Follow-up call,2026-08-24
Call,Follow-up call,2026-08-24
Call,Discovery call,2026-08-24
Meeting,Stakeholder alignment,2026-08-24
Task,Confirm measurement approach,2026-08-24
Task,Confirm measurement approach,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Confirm measurement approach,2026-08-24
Task,Confirm measurement approach,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Confirm measurement approach,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Confirm measurement approach,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Confirm measurement approach,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Confirm measurement approach,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Chase proposal decision,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Book executive sponsor call,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Send revised cohort schedule,2026-08-24
Task,Follow up on intro email,2026-08-24
Task,Re-engage after their planning cycle,2026-08-24
Task,Re-engage after their planning cycle,2026-08-24
Task,Follow up on intro email,2026-08-24
Task,Follow up on intro email,2026-08-24
Task,Re-engage after their planning cycle,2026-08-24
Task,Re-engage after their planning cycle,2026-08-24
Note,"Qualification call. Confirmed the sponsor, budget owner and target cohort size.",2026-08-25
Call,Discovery call,2026-08-25
Meeting,Diagnostic readout,2026-08-25
Meeting,Proposal review,2026-08-25
Task,Book executive sponsor call,2026-08-25
Task,Book executive sponsor call,2026-08-25
Task,Confirm measurement approach,2026-08-25
Task,Send revised cohort schedule,2026-08-25
Task,Confirm measurement approach,2026-08-25
Task,Book executive sponsor call,2026-08-25
Task,Send revised cohort schedule,2026-08-25
Task,Confirm measurement approach,2026-08-25
Task,Book executive sponsor call,2026-08-25
Task,Confirm measurement approach,2026-08-25
Task,Chase proposal decision,2026-08-25
Task,Confirm measurement approach,2026-08-25
Task,Book executive sponsor call,2026-08-25
Task,Confirm measurement approach,2026-08-25
Task,Send revised cohort schedule,2026-08-25
Task,Follow up on intro email,2026-08-25
Call,Follow-up call,2026-08-26
Task,Send revised cohort schedule,2026-08-26
Task,Chase proposal decision,2026-08-26
Task,Send revised cohort schedule,2026-08-26
Task,Send revised cohort schedule,2026-08-26
Task,Confirm measurement approach,2026-08-26
Task,Book executive sponsor call,2026-08-26
Task,Confirm measurement approach,2026-08-26
Task,Chase proposal decision,2026-08-26
Task,Book executive sponsor call,2026-08-26
Task,Book executive sponsor call,2026-08-26
Task,Book executive sponsor call,2026-08-26
Task,Confirm measurement approach,2026-08-26
Task,Chase proposal decision,2026-08-26
Task,Send revised cohort schedule,2026-08-26
Task,Follow up on intro email,2026-08-26
Call,Discovery call,2026-08-27
Task,Send revised cohort schedule,2026-08-27
Task,Book executive sponsor call,2026-08-27
Task,Chase proposal decision,2026-08-27
Task,Book executive sponsor call,2026-08-27
Task,Send revised cohort schedule,2026-08-27
Task,Confirm measurement approach,2026-08-27
Task,Send revised cohort schedule,2026-08-27
Task,Send revised cohort schedule,2026-08-27
Task,Chase proposal decision,2026-08-27
Task,Confirm measurement approach,2026-08-27
Task,Chase proposal decision,2026-08-27
Task,Book executive sponsor call,2026-08-27
Task,Chase proposal decision,2026-08-27
Task,Follow up on intro email,2026-08-27
Task,Book discovery call,2026-08-27
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-28
Task,Chase proposal decision,2026-08-28
Task,Book executive sponsor call,2026-08-28
Task,Chase proposal decision,2026-08-28
Task,Confirm measurement approach,2026-08-28
Task,Book executive sponsor call,2026-08-28
Task,Book executive sponsor call,2026-08-28
Task,Send revised cohort schedule,2026-08-28
Task,Send revised cohort schedule,2026-08-28
Task,Chase proposal decision,2026-08-28
Task,Book executive sponsor call,2026-08-28
Task,Book executive sponsor call,2026-08-28
Task,Send revised cohort schedule,2026-08-28
Task,Re-engage after their planning cycle,2026-08-28
Task,Follow up on intro email,2026-08-28
Task,Book discovery call,2026-08-28
Task,Follow up on intro email,2026-08-28
Task,Follow up on intro email,2026-08-28
Call,Follow-up call,2026-08-31
Call,Follow-up call,2026-08-31
Call,Follow-up call,2026-08-31
Call,Follow-up call,2026-08-31
Meeting,Stakeholder alignment,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Send revised cohort schedule,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Send revised cohort schedule,2026-08-31
Task,Send revised cohort schedule,2026-08-31
Task,Send revised cohort schedule,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Chase proposal decision,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Send revised cohort schedule,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Send revised cohort schedule,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Chase proposal decision,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Chase proposal decision,2026-08-31
Task,Chase proposal decision,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Send revised cohort schedule,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Chase proposal decision,2026-08-31
Task,Chase proposal decision,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Send revised cohort schedule,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Book executive sponsor call,2026-08-31
Task,Confirm measurement approach,2026-08-31
Task,Chase proposal decision,2026-08-31
Task,Re-engage after their planning cycle,2026-08-31
Task,Book discovery call,2026-08-31
Task,Book discovery call,2026-08-31
Task,Follow up on intro email,2026-08-31
Task,Follow up on intro email,2026-08-31
Task,Re-engage after their planning cycle,2026-08-31
Note,Sent the program outline and a sample cohort schedule.,2026-09-01
Task,Confirm measurement approach,2026-09-01
Task,Book executive sponsor call,2026-09-01
Task,Book executive sponsor call,2026-09-01
Task,Send revised cohort schedule,2026-09-01
Task,Send revised cohort schedule,2026-09-01
Task,Send revised cohort schedule,2026-09-01
Task,Book executive sponsor call,2026-09-01
Task,Send revised cohort schedule,2026-09-01
Task,Book executive sponsor call,2026-09-01
Task,Book executive sponsor call,2026-09-01
Task,Send revised cohort schedule,2026-09-01
Task,Confirm measurement approach,2026-09-01
Task,Send revised cohort schedule,2026-09-01
Task,Chase proposal decision,2026-09-01
Task,Book executive sponsor call,2026-09-01
Call,Follow-up call,2026-09-02
Task,Send revised cohort schedule,2026-09-02
Task,Book executive sponsor call,2026-09-02
Task,Chase proposal decision,2026-09-02
Task,Confirm measurement approach,2026-09-02
Task,Confirm measurement approach,2026-09-02
Task,Send revised cohort schedule,2026-09-02
Task,Re-engage after their planning cycle,2026-09-02
Task,Book discovery call,2026-09-02
Task,Re-engage after their planning cycle,2026-09-02
Task,Send revised cohort schedule,2026-09-03
Task,Book executive sponsor call,2026-09-03
Task,Chase proposal decision,2026-09-03
Task,Chase proposal decision,2026-09-03
Task,Send revised cohort schedule,2026-09-03
Task,Confirm measurement approach,2026-09-03
Task,Confirm measurement approach,2026-09-03
Task,Send revised cohort schedule,2026-09-03
Task,Send revised cohort schedule,2026-09-03
Task,Confirm measurement approach,2026-09-03
Task,Confirm measurement approach,2026-09-03
Task,Book executive sponsor call,2026-09-03
Task,Send revised cohort schedule,2026-09-03
Task,Chase proposal decision,2026-09-03
Task,Confirm measurement approach,2026-09-03
Task,Book executive sponsor call,2026-09-03
Task,Chase proposal decision,2026-09-03
Task,Book discovery call,2026-09-03
Task,Follow up on intro email,2026-09-03
Task,Book discovery call,2026-09-03
Task,Confirm measurement approach,2026-09-04
Task,Confirm measurement approach,2026-09-04
Task,Send revised cohort schedule,2026-09-04
Task,Chase proposal decision,2026-09-04
Task,Confirm measurement approach,2026-09-04
Task,Confirm measurement approach,2026-09-04
Task,Send revised cohort schedule,2026-09-04
Task,Send revised cohort schedule,2026-09-04
Task,Confirm measurement approach,2026-09-04
Task,Chase proposal decision,2026-09-04
Task,Send revised cohort schedule,2026-09-04
Task,Chase proposal decision,2026-09-04
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-09-07
Note,Shared two anonymised case studies from similar-stage organizations.,2026-09-07
Task,Send revised cohort schedule,2026-09-07
Task,Confirm measurement approach,2026-09-07
Task,Chase proposal decision,2026-09-07
Task,Book executive sponsor call,2026-09-07
Task,Send revised cohort schedule,2026-09-07
Task,Chase proposal decision,2026-09-07
Task,Chase proposal decision,2026-09-07
Task,Confirm measurement approach,2026-09-07
Task,Book executive sponsor call,2026-09-07
Task,Book executive sponsor call,2026-09-07
Task,Chase proposal decision,2026-09-07
Task,Confirm measurement approach,2026-09-07
Task,Send revised cohort schedule,2026-09-07
Task,Re-engage after their planning cycle,2026-09-07
Task,Follow up on intro email,2026-09-07
Task,Book discovery call,2026-09-07
Task,Follow up on intro email,2026-09-07
Call,Follow-up call,2026-09-08
Task,Re-engage after their planning cycle,2026-09-08
Task,Follow up on intro email,2026-09-08
Task,Re-engage after their planning cycle,2026-09-08
Task,Follow up on intro email,2026-09-08
Note,Sent the program outline and a sample cohort schedule.,2026-09-09
Call,Follow-up call,2026-09-09
Call,Follow-up call,2026-09-10
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-09-11
Call,Follow-up call,2026-09-14
Task,Re-engage after their planning cycle,2026-09-14
Task,Book discovery call,2026-09-14
Task,Re-engage after their planning cycle,2026-09-14
Task,Re-engage after their planning cycle,2026-09-14
Task,Follow up on intro email,2026-09-14
Note,Shared two anonymised case studies from similar-stage organizations.,2026-09-15
Call,Follow-up call,2026-09-15
Call,Follow-up call,2026-09-17
Meeting,Stakeholder alignment,2026-09-17
Meeting,Proposal review,2026-09-17
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-09-18
Note,Shared two anonymised case studies from similar-stage organizations.,2026-09-21
Meeting,Stakeholder alignment,2026-09-21
Call,Follow-up call,2026-09-22
Call,Follow-up call,2026-09-22
Call,Follow-up call,2026-09-23
Call,Follow-up call,2026-09-28
Call,Follow-up call,2026-09-28
Meeting,Proposal review,2026-09-28
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-09-30
Note,Shared two anonymised case studies from similar-stage organizations.,2026-10-02
Meeting,Stakeholder alignment,2026-10-02
Call,Follow-up call,2026-10-05
Call,Follow-up call,2026-10-07
Call,Follow-up call,2026-10-12
Call,Follow-up call,2026-10-12
Note,Sent the program outline and a sample cohort schedule.,2026-10-14
Meeting,Proposal review,2026-10-14
Note,Shared two anonymised case studies from similar-stage organizations.,2026-10-22
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-10-26
Call,Follow-up call,2026-10-26
Call,Follow-up call,2026-10-27
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-10-29
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-10-29
Call,Follow-up call,2026-11-04
Meeting,Scoping session,2026-11-04
Call,Follow-up call,2026-11-09
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-11-10
Call,Follow-up call,2026-11-12
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-11-18
Call,Follow-up call,2026-11-23
Call,Follow-up call,2026-11-24
